PING 202.112.35.231 (202.112.35.231) 56(84) bytes of data.
64 bytes from 202.112.35.231: icmp_seq=40 ttl=61 time=31.4 ms
64 bytes from 202.112.35.231: icmp_seq=41 ttl=61 time=16.3 ms
64 bytes from 202.112.35.231: icmp_seq=42 ttl=61 time=9.64 ms
64 bytes from 202.112.35.231: icmp_seq=43 ttl=61 time=27.6 ms
64 bytes from 202.112.35.231: icmp_seq=44 ttl=61 time=8.66 ms
64 bytes from 202.112.35.231: icmp_seq=45 ttl=61 time=49.0 ms
64 bytes from 202.112.35.231: icmp_seq=46 ttl=61 time=93.3 ms
64 bytes from 202.112.35.231: icmp_seq=47 ttl=61 time=28.3 ms
64 bytes from 202.112.35.231: icmp_seq=48 ttl=61 time=49.8 ms
64 bytes from 202.112.35.231: icmp_seq=49 ttl=61 time=45.8 ms
64 bytes from 202.112.35.231: icmp_seq=50 ttl=61 time=1226 ms
64 bytes from 202.112.35.231: icmp_seq=51 ttl=61 time=221 ms
64 bytes from 202.112.35.231: icmp_seq=52 ttl=61 time=14.0 ms
64 bytes from 202.112.35.231: icmp_seq=53 ttl=61 time=11.5 ms
64 bytes from 202.112.35.231: icmp_seq=54 ttl=61 time=57.9 ms
64 bytes from 202.112.35.231: icmp_seq=55 ttl=61 time=20.0 ms
64 bytes from 202.112.35.231: icmp_seq=56 ttl=61 time=8.73 ms
64 bytes from 202.112.35.231: icmp_seq=57 ttl=61 time=20.0 ms
64 bytes from 202.112.35.231: icmp_seq=58 ttl=61 time=28.1 ms
64 bytes from 202.112.35.231: icmp_seq=59 ttl=61 time=128 ms
64 bytes from 202.112.35.231: icmp_seq=60 ttl=61 time=9.23 ms
64 bytes from 202.112.35.231: icmp_seq=61 ttl=61 time=28.8 ms
64 bytes from 202.112.35.231: icmp_seq=62 ttl=61 time=41.2 ms
64 bytes from 202.112.35.231: icmp_seq=63 ttl=61 time=26.4 ms
64 bytes from 202.112.35.231: icmp_seq=64 ttl=61 time=21.5 ms
64 bytes from 202.112.35.231: icmp_seq=65 ttl=61 time=40.1 ms
