PING 202.112.35.231 (202.112.35.231) 56(84) bytes of data.
64 bytes from 202.112.35.231: icmp_seq=82 ttl=61 time=6.25 ms
64 bytes from 202.112.35.231: icmp_seq=83 ttl=61 time=6.22 ms
64 bytes from 202.112.35.231: icmp_seq=84 ttl=61 time=11.7 ms
64 bytes from 202.112.35.231: icmp_seq=85 ttl=61 time=6.19 ms
64 bytes from 202.112.35.231: icmp_seq=86 ttl=61 time=1285 ms
64 bytes from 202.112.35.231: icmp_seq=87 ttl=61 time=287 ms
64 bytes from 202.112.35.231: icmp_seq=88 ttl=61 time=6.12 ms
64 bytes from 202.112.35.231: icmp_seq=89 ttl=61 time=9.73 ms
64 bytes from 202.112.35.231: icmp_seq=90 ttl=61 time=6.29 ms
64 bytes from 202.112.35.231: icmp_seq=91 ttl=61 time=6.28 ms
64 bytes from 202.112.35.231: icmp_seq=92 ttl=61 time=6.62 ms
64 bytes from 202.112.35.231: icmp_seq=93 ttl=61 time=10.3 ms
64 bytes from 202.112.35.231: icmp_seq=94 ttl=61 time=6.19 ms
64 bytes from 202.112.35.231: icmp_seq=95 ttl=61 time=7.76 ms
64 bytes from 202.112.35.231: icmp_seq=96 ttl=61 time=7.32 ms
64 bytes from 202.112.35.231: icmp_seq=97 ttl=61 time=7.57 ms
64 bytes from 202.112.35.231: icmp_seq=98 ttl=61 time=6.19 ms
64 bytes from 202.112.35.231: icmp_seq=99 ttl=61 time=6.33 ms
64 bytes from 202.112.35.231: icmp_seq=100 ttl=61 time=6.26 ms
64 bytes from 202.112.35.231: icmp_seq=101 ttl=61 time=6.19 ms
64 bytes from 202.112.35.231: icmp_seq=102 ttl=61 time=6.62 ms
64 bytes from 202.112.35.231: icmp_seq=103 ttl=61 time=6.33 ms
64 bytes from 202.112.35.231: icmp_seq=104 ttl=61 time=7.35 ms
64 bytes from 202.112.35.231: icmp_seq=105 ttl=61 time=6.30 ms
64 bytes from 202.112.35.231: icmp_seq=106 ttl=61 time=7.57 ms
64 bytes from 202.112.35.231: icmp_seq=107 ttl=61 time=15.4 ms
64 bytes from 202.112.35.231: icmp_seq=108 ttl=61 time=6.29 ms
64 bytes from 202.112.35.231: icmp_seq=109 ttl=61 time=6.35 ms
64 bytes from 202.112.35.231: icmp_seq=110 ttl=61 time=6.28 ms
64 bytes from 202.112.35.231: icmp_seq=111 ttl=61 time=6.27 ms
64 bytes from 202.112.35.231: icmp_seq=112 ttl=61 time=7.05 ms
64 bytes from 202.112.35.231: icmp_seq=113 ttl=61 time=6.19 ms
64 bytes from 202.112.35.231: icmp_seq=114 ttl=61 time=6.93 ms
64 bytes from 202.112.35.231: icmp_seq=115 ttl=61 time=6.24 ms
64 bytes from 202.112.35.231: icmp_seq=116 ttl=61 time=14.2 ms
64 bytes from 202.112.35.231: icmp_seq=117 ttl=61 time=7.68 ms
64 bytes from 202.112.35.231: icmp_seq=118 ttl=61 time=10.0 ms
64 bytes from 202.112.35.231: icmp_seq=119 ttl=61 time=9.97 ms
64 bytes from 202.112.35.231: icmp_seq=120 ttl=61 time=10.6 ms
64 bytes from 202.112.35.231: icmp_seq=121 ttl=61 time=6.25 ms
64 bytes from 202.112.35.231: icmp_seq=122 ttl=61 time=6.20 ms
64 bytes from 202.112.35.231: icmp_seq=123 ttl=61 time=6.27 ms
64 bytes from 202.112.35.231: icmp_seq=124 ttl=61 time=6.24 ms
64 bytes from 202.112.35.231: icmp_seq=125 ttl=61 time=9.82 ms
64 bytes from 202.112.35.231: icmp_seq=126 ttl=61 time=6.41 ms
64 bytes from 202.112.35.231: icmp_seq=127 ttl=61 time=6.24 ms
64 bytes from 202.112.35.231: icmp_seq=128 ttl=61 time=6.69 ms
64 bytes from 202.112.35.231: icmp_seq=129 ttl=61 time=7.30 ms
64 bytes from 202.112.35.231: icmp_seq=130 ttl=61 time=6.28 ms
64 bytes from 202.112.35.231: icmp_seq=131 ttl=61 time=6.21 ms
64 bytes from 202.112.35.231: icmp_seq=132 ttl=61 time=7.16 ms
64 bytes from 202.112.35.231: icmp_seq=133 ttl=61 time=6.23 ms
64 bytes from 202.112.35.231: icmp_seq=134 ttl=61 time=6.91 ms
64 bytes from 202.112.35.231: icmp_seq=135 ttl=61 time=6.96 ms
64 bytes from 202.112.35.231: icmp_seq=136 ttl=61 time=7.16 ms
64 bytes from 202.112.35.231: icmp_seq=137 ttl=61 time=6.24 ms
64 bytes from 202.112.35.231: icmp_seq=138 ttl=61 time=9.30 ms
64 bytes from 202.112.35.231: icmp_seq=139 ttl=61 time=6.94 ms
64 bytes from 202.112.35.231: icmp_seq=140 ttl=61 time=6.25 ms
64 bytes from 202.112.35.231: icmp_seq=141 ttl=61 time=6.22 ms
64 bytes from 202.112.35.231: icmp_seq=142 ttl=61 time=7.18 ms
64 bytes from 202.112.35.231: icmp_seq=143 ttl=61 time=7.38 ms
64 bytes from 202.112.35.231: icmp_seq=144 ttl=61 time=6.25 ms
64 bytes from 202.112.35.231: icmp_seq=145 ttl=61 time=6.28 ms
64 bytes from 202.112.35.231: icmp_seq=146 ttl=61 time=1184 ms
64 bytes from 202.112.35.231: icmp_seq=147 ttl=61 time=178 ms
64 bytes from 202.112.35.231: icmp_seq=148 ttl=61 time=10.4 ms
64 bytes from 202.112.35.231: icmp_seq=149 ttl=61 time=6.21 ms
64 bytes from 202.112.35.231: icmp_seq=150 ttl=61 time=6.28 ms
64 bytes from 202.112.35.231: icmp_seq=151 ttl=61 time=6.88 ms
64 bytes from 202.112.35.231: icmp_seq=152 ttl=61 time=6.19 ms
64 bytes from 202.112.35.231: icmp_seq=153 ttl=61 time=6.58 ms
64 bytes from 202.112.35.231: icmp_seq=154 ttl=61 time=6.14 ms
64 bytes from 202.112.35.231: icmp_seq=155 ttl=61 time=6.24 ms
64 bytes from 202.112.35.231: icmp_seq=156 ttl=61 time=6.23 ms
64 bytes from 202.112.35.231: icmp_seq=157 ttl=61 time=7.86 ms
64 bytes from 202.112.35.231: icmp_seq=158 ttl=61 time=6.33 ms
64 bytes from 202.112.35.231: icmp_seq=159 ttl=61 time=8.29 ms
64 bytes from 202.112.35.231: icmp_seq=160 ttl=61 time=6.79 ms
64 bytes from 202.112.35.231: icmp_seq=161 ttl=61 time=13.9 ms
64 bytes from 202.112.35.231: icmp_seq=162 ttl=61 time=6.23 ms
64 bytes from 202.112.35.231: icmp_seq=163 ttl=61 time=6.57 ms
64 bytes from 202.112.35.231: icmp_seq=164 ttl=61 time=6.31 ms
64 bytes from 202.112.35.231: icmp_seq=165 ttl=61 time=7.21 ms
64 bytes from 202.112.35.231: icmp_seq=166 ttl=61 time=6.98 ms
64 bytes from 202.112.35.231: icmp_seq=167 ttl=61 time=6.44 ms
64 bytes from 202.112.35.231: icmp_seq=168 ttl=61 time=6.20 ms
64 bytes from 202.112.35.231: icmp_seq=169 ttl=61 time=6.22 ms
64 bytes from 202.112.35.231: icmp_seq=170 ttl=61 time=7.31 ms
64 bytes from 202.112.35.231: icmp_seq=171 ttl=61 time=15.7 ms
64 bytes from 202.112.35.231: icmp_seq=172 ttl=61 time=6.23 ms
64 bytes from 202.112.35.231: icmp_seq=173 ttl=61 time=6.19 ms
64 bytes from 202.112.35.231: icmp_seq=174 ttl=61 time=6.33 ms
64 bytes from 202.112.35.231: icmp_seq=175 ttl=61 time=6.26 ms
64 bytes from 202.112.35.231: icmp_seq=176 ttl=61 time=6.23 ms
64 bytes from 202.112.35.231: icmp_seq=177 ttl=61 time=7.33 ms
64 bytes from 202.112.35.231: icmp_seq=178 ttl=61 time=6.19 ms
64 bytes from 202.112.35.231: icmp_seq=179 ttl=61 time=7.48 ms
64 bytes from 202.112.35.231: icmp_seq=180 ttl=61 time=13.2 ms
64 bytes from 202.112.35.231: icmp_seq=181 ttl=61 time=6.99 ms
64 bytes from 202.112.35.231: icmp_seq=182 ttl=61 time=6.64 ms
64 bytes from 202.112.35.231: icmp_seq=183 ttl=61 time=6.19 ms
64 bytes from 202.112.35.231: icmp_seq=184 ttl=61 time=8.57 ms
64 bytes from 202.112.35.231: icmp_seq=185 ttl=61 time=6.99 ms
64 bytes from 202.112.35.231: icmp_seq=186 ttl=61 time=6.26 ms
